datetime,timestamp,line_error,duty_left,duty_right,enc_l,enc_r
2025-07-13T15:22:59.554266,292.274,-500.0,26.0,34.0,0,52
2025-07-13T15:22:59.615243,292.289,-500.0,26.0,34.0,0,52
2025-07-13T15:22:59.675353,292.293,-500.0,26.0,34.0,0,52
2025-07-13T15:22:59.742023,292.303,-500.0,26.0,34.0,0,52
2025-07-13T15:22:59.810005,292.313,-500.0,26.0,34.0,0,52
2025-07-13T15:22:59.881461,292.323,-500.0,26.0,34.0,0,52
2025-07-13T15:22:59.942017,292.333,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.010014,292.348,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.075528,292.354,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.137538,292.363,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.196833,292.373,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.267759,292.383,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.335204,292.393,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.400232,292.404,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.470868,292.418,-482.0,27.4,32.6,0,52
2025-07-13T15:23:00.536065,292.423,-500.0,24.74,35.26,0,52
2025-07-13T15:23:00.596889,292.433,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.657616,292.443,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.715644,292.453,-500.0,26.0,34.0,0,52
2025-07-13T15:23:00.778438,292.463,-500.0,26.0,34.0,0,52
